# name, least_significant_digit, min_value, max_value
CO2_BG, 2, 0, 1
CO_BG, 2, 0, 1
C14_BG, 2, 0, 1
CO2_FF1, 2, 0, 1
CO2_FF2, 2, 0, 1
CO2_FF3, 2, 0, 1
CO2_FF4, 2, 0, 1
CO2_FF5, 2, 0, 1
CO2_FF6, 2, 0, 1
CO2_BF1, 4, 0, 1
CO2_BF2, 4, 0, 1
CO2_BF3, 4, 0, 1
CO2_BF4, 4, 0, 1
CO2_BF5, 4, 0, 1
CO2_BF6, 4, 0, 1
CO2_NC1, 3, 0, 1
CO2_NC2, 3, 0, 1
CO2_NC3, 3, 0, 1
CO2_NC4, 3, 0, 1
CO2_NC5, 3, 0, 1
CO2_NC6, 3, 0, 1
CO_FF1, 2, 0, 1
CO_FF2, 2, 0, 1
CO_FF3, 2, 0, 1
CO_FF4, 2, 0, 1
CO_FF5, 2, 0, 1
CO_FF6, 2, 0, 1
CO_BF1, 2, 0, 1
CO_BF2, 2, 0, 1
CO_BF3, 2, 0, 1
CO_BF4, 2, 0, 1
CO_BF5, 2, 0, 1
CO_BF6, 2, 0, 1
CO_NC1, 2, 0, 1
CO_NC2, 2, 0, 1
CO_NC3, 2, 0, 1
CO_NC4, 2, 0, 1
CO_NC5, 2, 0, 1
CO_NC6, 2, 0, 1
C14_BF1, 4, 0, 1
C14_BF2, 4, 0, 1
C14_BF3, 4, 0, 1
C14_BF4, 4, 0, 1
C14_BF5, 4, 0, 1
C14_BF6, 4, 0, 1
C14_NUC1, 3, 0, 1
C14_NUC2, 3, 0, 1
C14_NUC3, 3, 0, 1
C14_NUC4, 3, 0, 1
C14_NUC5, 3, 0, 1
C14_NUC6, 3, 0, 1
CO2_GPP1, 3, 0, 1
CO2_GPP2, 3, 0, 1
CO2_GPP3, 3, 0, 1
CO2_GPP4, 3, 0, 1
CO2_GPP5, 3, 0, 1
CO2_GPP6, 3, 0, 1
CO2_RA1, 3, 0, 1
CO2_RA2, 3, 0, 1
CO2_RA3, 3, 0, 1
CO2_RA4, 3, 0, 1
CO2_RA5, 3, 0, 1
CO2_RA6, 3, 0, 1
C14_NPP1, 6, 0, 1
C14_NPP2, 6, 0, 1
C14_NPP3, 6, 0, 1
C14_NPP4, 6, 0, 1
C14_NPP5, 6, 0, 1
C14_NPP6, 6, 0, 1
C14_NPN1, 6, 0, 1
C14_NPN2, 6, 0, 1
C14_NPN3, 6, 0, 1
C14_NPN4, 6, 0, 1
C14_NPN5, 6, 0, 1
C14_NPN6, 6, 0, 1
C14_HR1, 4, 0, 1
C14_HR2, 4, 0, 1
C14_HR3, 4, 0, 1
C14_HR4, 4, 0, 1
C14_HR5, 4, 0, 1
C14_HR6, 4, 0, 1
CO2_O_P, 4, 0, 1
CO2_O_N, 4, 0, 1
CO_O_P, 4, 0, 1
CO_O_N, 4, 0, 1
C14_O_P, 6, 0, 1
C14_O_N, 6, 0, 1
